filename,val error,test error,mutual information,sample entropy,experts usage,per_task_entropy,val error std
mnist_rand_init_10_10_models.pt,94.781,95.380,1.488,0.031,1.490,0.155,0.021
mnist_with_attn_rand_init_10_10_models.pt,96.451,96.290,2.456,0.006,2.504,0.285,0.013
mnist_stochastic_rand_init_10_10_models.pt,96.133,96.200,1.405,0.000,1.516,0.223,0.028
mnist_with_attn_stochastic_rand_init_10_10_models.pt,96.733,96.680,2.436,0.000,2.669,0.413,0.006
mnist_rand_init_top_1_10_10_models.pt,94.916,94.830,1.357,0.000,1.357,0.161,0.335
mnist_with_attn_rand_init_top_1_10_10_models.pt,95.176,95.550,2.058,0.000,2.076,0.238,0.048
mnist_rand_init_top_2_10_10_models.pt,96.154,96.250,1.663,0.074,1.912,0.405,0.007
mnist_with_attn_rand_init_top_2_10_10_models.pt,96.885,96.910,2.131,0.028,2.399,0.426,0.005
mnist_rand_init_importance_0.2_10_10_models.pt,97.662,97.720,3.319,0.053,3.319,0.249,0.010
mnist_with_attn_importance_rand_init_importance_0.6_10_10_models.pt,97.475,97.490,3.320,0.007,3.320,0.232,0.005
mnist_rand_init_top_2_importance_0.4_10_10_models.pt,97.900,97.830,3.283,0.054,3.320,0.271,0.005
mnist_with_attn_importance_rand_init_top_2_importance_0.8_10_10_models.pt,97.714,97.590,3.258,0.017,3.320,0.255,0.005
mnist_rand_init_sample_sim_same_1e-05_sample_sim_diff_0.01_10_10_models.pt,96.546,96.650,2.384,0.060,2.476,0.300,0.023
mnist_with_attn_rand_init_sample_sim_same_1e-05_sample_sim_diff_1e-06_10_10_models.pt,97.102,97.000,2.948,0.010,3.102,0.391,0.010
mnist_rand_init_top_2_sample_sim_same_1e-05_sample_sim_diff_1e-06_10_10_models.pt,97.181,97.200,2.233,0.039,2.248,0.198,0.007
mnist_with_attn_rand_init_top_2_sample_sim_same_1e-05_sample_sim_diff_0.0001_10_10_models.pt,97.530,97.240,2.632,0.045,2.921,0.455,0.005
new_mnist_with_attn_rand_init_10_10_models.pt,96.326,96.570,2.447,0.009,2.447,0.217,0.013
new_mnist_with_attn_stochastic_rand_init_10_10_models.pt,96.646,96.700,2.415,0.000,2.674,0.422,0.008
new_mnist_with_attn_rand_init_top_1_10_10_models.pt,95.769,95.830,2.050,0.000,2.084,0.224,0.270
new_mnist_with_attn_rand_init_top_2_sample_sim_same_1e-05_sample_sim_diff_0.001_10_10_models.pt,96.924,96.910,2.553,0.034,2.736,0.370,0.078
new_mnist_with_attn_importance_rand_init_importance_0.2_10_10_models.pt,97.685,97.790,3.318,0.008,3.319,0.210,0.044
new_mnist_with_attn_importance_rand_init_top_2_importance_0.6_10_10_models.pt,96.922,97.040,2.897,0.038,3.147,0.387,0.068
new_mnist_with_attn_rand_init_sample_sim_same_1e-05_sample_sim_diff_0.001_10_10_models.pt,97.320,97.080,2.928,0.015,2.971,0.278,0.042
new_mnist_with_attn_rand_init_top_2_sample_sim_same_1e-05_sample_sim_diff_0.001_10_10_models.pt,96.924,96.910,2.553,0.034,2.736,0.370,0.078
